FFT, 2, TOTAL, 86.4131, 1190.88, 543.748, 1161.3, 497.443, 1081.64, 1078.26, 1101.62, 538.255, 1184.26, 1195.09, 1192.8, 344.221, 300.219, 295.749, 299.025
FFT, 2, CONV, 23.4967, 540.292, 248.531, 447.845, 181.196, 324.321, 417.427, 329.847, 222.564, 422.354, 420.244, 417.578, 127.479, 116.043, 115.384, 116.132
FFT, 2, OVERHEAD, 21.9155, 360.051, 154.066, 302.011, 165.051, 316.798, 329.742, 325.664, 149.124, 285.982, 290.889, 289.725, 66.1042, 60.9217, 60.3348, 60.3512
FFT, 4, TOTAL, 139.47, 1959.88, 808.812, 1854.25, 726.985, 1710.66, 1756.81, 1757.65, 801.091, 1932.74, 1958.72, 1956.02, 499.65, 440.86, 440.436, 441.12
FFT, 4, CONV, 40.4993, 870.343, 422.982, 851.969, 314.913, 644.891, 557.324, 557.684, 390.968, 720.78, 725.94, 721.378, 210.282, 205.634, 205.747, 206.584
FFT, 4, OVERHEAD, 31.3517, 402.894, 177.187, 340.52, 182.563, 353.258, 357.795, 357.412, 168.904, 321.306, 326.064, 326.163, 76.8408, 71.5696, 71.1406, 71.2148
FFT, 8, TOTAL, 253.088, 3459.44, 1384.48, 3342.45, 1169.57, 3027.97, 3064.15, 3065.99, 1328.35, 3461.15, 3484.61, 3473.78, 798.959, 752.379, 749.411, 751.992
FFT, 8, CONV, 73.9778, 1527.03, 779.424, 1410.75, 579.188, 1040.65, 1127.64, 1131.31, 722.223, 1332.38, 1315.35, 1335.26, 379.163, 377.317, 377.701, 378.401
FFT, 8, OVERHEAD, 53.4634, 490.084, 225.982, 411.468, 225.693, 420.874, 426.043, 424.855, 210.129, 393.741, 397.138, 395.909, 97.5249, 92.048, 92.4852, 92.5298
WINOGRAD, 1, TOTAL, 63.8101, 543.481, 326.792, 589.067, 339.198, 563.981, 667.932, 675.358, 402.922, 946.499, 759.537, 765.774, 239.8, 202.848, 207.14, 210.217
WINOGRAD, 1, CONV, 29.5782, 483.594, 267.661, 524.547, 282.096, 498.822, 513.954, 519.291, 343.465, 887.786, 611.054, 613.321, 193.025, 172.198, 176.379, 180.211
WINOGRAD, 1, OVERHEAD, 14.6339, 24.3066, 8.58528, 12.4902, 3.92355, 6.22589, 6.16819, 6.20179, 2.57974, 5.38522, 5.98432, 6.42419, 3.57405, 3.16464, 2.64925, 2.71158
WINOGRAD, 2, TOTAL, 115.143, 1018.97, 571.863, 1083.79, 601.357, 1053.35, 1176.77, 1184.7, 677.383, 1443.26, 1366.37, 1355.7, 429.151, 342.893, 434.931, 382.957
WINOGRAD, 2, CONV, 58.8984, 909.634, 515.512, 1012.54, 529.93, 987.26, 1031.64, 1037, 605.884, 1376.89, 1221.32, 1206.76, 368.864, 308.209, 399.513, 350.111
WINOGRAD, 2, OVERHEAD, 33.9701, 59.864, 23.5248, 30.2433, 12.2908, 16.0072, 16.3205, 16.4194, 6.47213, 9.82294, 10.2048, 10.2785, 4.99837, 2.65965, 2.94394, 3.01664
WINOGRAD, 4, TOTAL, 222.22, 2007.26, 1113.06, 2152.67, 1111.35, 2162.12, 2128.29, 2115.75, 1274.7, 3065.27, 2615.91, 2627.53, 891.217, 860.762, 851.245, 837.106
WINOGRAD, 4, CONV, 116.158, 1809.53, 1020.45, 2034.7, 1047.38, 2085.99, 1990.51, 1982.89, 1194.2, 2998.29, 2474.17, 2485.99, 818.581, 828.356, 817.484, 804.535
WINOGRAD, 4, OVERHEAD, 72.438, 128.647, 52.5558, 66.0357, 29.0525, 34.9335, 37.6715, 35.7256, 16.6349, 21.1459, 23.395, 23.2708, 7.0705, 4.86195, 4.98038, 4.84768
WINOGRAD, 8, TOTAL, 446.669, 4013.5, 2195.53, 4290.38, 2187.58, 4288.05, 4279.34, 4239.43, 2463.54, 5068.42, 5087.47, 5142.39, 1470.11, 1871.4, 1856.98, 1847.58
WINOGRAD, 8, CONV, 238.451, 3634.77, 2030.24, 4084.87, 2081.17, 4159.35, 4151.11, 4109.68, 2399.78, 4985.08, 4963.28, 5017.05, 1402.12, 1828.56, 1814.98, 1807.13
WINOGRAD, 8, OVERHEAD, 151.818, 269.057, 108.881, 133.818, 60.0778, 76.0813, 74.8088, 74.5133, 29.0254, 39.801, 41.4652, 40.4669, 12.2505, 12.1163, 11.8152, 11.4732
CUDNN, 1, TOTAL, 0.888832, 5.38531, 2.08259, 3.55453, 1.6937, 2.97363, 2.87859, 2.94627, 2.30896, 4.35798, 4.23491, 4.10778, 2.8993, 2.97955, 2.95731, 3.24058
CUDNN, 1, CONV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 1, OVERHEAD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 2, TOTAL, 1.73466, 9.84074, 3.34739, 5.84733, 2.51523, 4.45811, 4.45421, 4.51626, 3.17555, 5.47837, 5.18291, 5.27299, 3.32224, 3.50614, 3.5801, 3.41642
CUDNN, 2, CONV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 2, OVERHEAD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 4, TOTAL, 2.69926, 19.7617, 6.03901, 10.8964, 4.41046, 7.31264, 7.27194, 7.5512, 4.05158, 7.3407, 7.81325, 7.2792, 4.144, 4.24586, 4.22022, 4.18288
CUDNN, 4, CONV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 4, OVERHEAD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 8, TOTAL, 4.61824, 38.4655, 12.1305, 20.4024, 7.21264, 13.1696, 14.0549, 12.8844, 6.31744, 10.9257, 10.992, 10.7176, 5.0921, 4.93245, 5.15216, 5.08042
CUDNN, 8, CONV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CUDNN, 8, OVERHEAD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
